테니스=[名] 網球
탑=[名] 塔
외로운생활=[名] 孤獨的生活
손잡이=[名] 手把
짜증=[名] 發牢騷,不高興
수리기사=[名] 修理工
말다툼=[名] 吵架
식욕=[名] 食欲
양념=[名] 調料
컵=[名] 杯子,cup
의사소통=[名] 溝通
반대=[名] 相反
지루하다=[形] 沉悶的,乏味的
혼나다=[動] 經歷困難,受驚
드디여=[副] 終於
고급=[名] 高級
찬물=[名] 涼水
얼음물=[名] 冰水
얼른=[副] 迅速地,快速地
모자라다=[形] 缺,不足
확실하게=[副] 確切地,準確無誤地
곧=[副] 即刻,馬上
부러워요=[形] 羡慕
자꾸=[副] 總是
비교하다=[動] 比較
정반대=[名] 完全相反
주변=[名] 周邊
구성=[名] 構成
소비=[名] 消費
규모=[名] 規模
성향=[名] 傾向,趨向
양치질=[名] 漱口
칫솔=[名] 牙刷
치아=[名] 牙齒
박사=[名] 博士
고래=[名] 鯨魚
먹이=[名] 飼料,餌
생김새=[名] 長相
영역=[名] 領域
구별하다=[動] 分辨
신제품=[名] 新產品
권유하다=[動] 勸告
개막식=[名] 開幕式
시상식=[名] 發獎儀式
가구=[名] 傢俱
건전지=[名] 乾電池
조언=[名] 助言,有益的經驗
인터뷰=[名] 面試,interview
다방면=[名] 多方面
기업=[名] 企業
성장=[名] 成長
개관식=[名] 開館儀式
생신=[名] 生日,这是用于老者或者长辈的敬语. 非敬语是생일
디자인=[名] 設計,design
저자=[名] 作者
줄거리=[名] 情節
수필=[名] 隨筆
새벽=[名] 淩晨,清晨
파도=[名] 海浪,波濤
선구자=[名] 先驅
생애=[名] 生涯
평가=[名] 評價
인식=[名] 認得,認識
조상=[名] 祖先
자취=[名] 蹤跡,痕跡
향기=[名] 香氣
쌀=[名] 大米
생산량=[名] 生產量
통계=[名] 統計
음주=[名] 飲酒
규제=[名] 管制,歸制
불구하다=[形] 不顧
비둘기=[名] 鴿子
나뭇잎=[名] 樹葉
사냥꾼=[名] 獵人
총=[名] 槍
물다=[動] 咬
생명=[名] 生命
주관=[名] 主觀
주장=[名] 主張
공감하다=[動] 產生共鳴
객관=[名] 客觀
과장하다=[形] 誇張
관점=[名] 觀點
지구의탄생=[名] 地球的誕生
환경=[名] 環境
영국=[名] 英國
프랑스=[名] 法國
신세대=[名] 新一代,新世代
피아노연주=[名] 鋼琴演奏
태양=[名] 太陽
감시카메라=[名] 監視鏡頭
대중교통=[名] 大眾交通
소비자=[名] 消費者
상업=[名] 商業
철저하다=[形] 徹底的
주목받다=[形] 受矚目
인류=[名] 人類
무기=[名] 武器
발견=[名] 發現
신문기자=[名] 新聞記者
전문가=[名] 專家
