시인=[名] 詩人
자산=[名] 資產
패스트푸드점=[名] Best food 店
조화=[名] 造化
음식의천국=[名] 飲食的天國(天堂)
장독=[名] 醬缸
고추장=[名] 辣椒醬
반찬=[名] 盤餐
간장=[名] 醬油
안주인=[名] 內人
전액부담=[名] 全額負擔
인연=[名] 姻緣
양극화=[名] 兩極化
