법=[名] 法
나그네=[名] 過客,對陌生的成人男性的稱呼
보완하다=[動] 彌補,補充
옹호하다=[動] 擁護
모색하다=[動] 摸索
공존하다=[動] 共存
배신하다=[動] 背叛
장거리=[名] 長途
자백=[名] 自白
실업률=[名] 失業率
노동력수요=[名] 勞動力需求
입양=[名] 領養,認領
인생의허무함=[名] 人生的虛無感
불쌍한신세=[名] 可憐的處境
논문=[名] 論文
이론=[名] 理論
분권화=[名] 分權化
보폭=[名] 步幅
생선구이=[名] 烤海鮮
닭껍질=[名] 雞皮
간식=[名] 零食
흉기=[名] 兇器
혈액=[名] 血液
헌혈=[名] 獻血
반전평화행사=[名] 反戰和平活動
국정=[名] 國情
억울하다=[形] 冤枉的,委屈的
누명=[名] 黒鍋,連累
근성=[名] 韌性,劣根性
신화=[名] 神話
영향력=[名] 影響力
풍력=[名] 風力
태양에너지=[名] 太陽能
지열=[名] 地熱
조력=[名] 潮力,海潮的動力
수소에너지=[名] 氫能
에너지원=[名] 能源
환기=[名] 喚起,換氣
대중가요=[名] 大眾歌謠
호응=[名] 呼應
민담=[名] 民間故事,民間傳說,民談
선과악=[名] 善和惡
수수께끼=[名] 謎語
티눈=[名] 雞眼,肉刺
방어벽=[名] 防禦牆
공교육=[名] 公共教育
불신하다=[形] 不信任
사교육=[名] 私立教育
천국=[名] 天國
지옥=[名] 地獄
체제=[名] 體制
조각구름=[名] 斷雲,片雲
조개껍질=[名] 貝殼
산허리=[名] 山腰
항암효과=[名] 抗癌效果
청국장=[名] 清曲醬湯
식생활=[名] 飲食生活
하반기=[名] 下半期
채용=[名] 採用,招聘
돌파구=[名] 突破口
꽃다발=[名] 花環
자치=[名] 自治
혐오증=[名] 厭惡症
뒷문=[名] 後門
성탄절=[名] 耶誕節
크리스마스=[名] 耶誕節,Christmas
해열제=[名] 解熱劑
약재=[名] 藥材
주문=[名] 訂閱
대충=[副] 大概
