생기다=[名] 产生
변명=[名] 狡辯
영화배우=[名] 電影演員
기억=[名] 記憶
해외영업부=[名] 海外營業部
지원=[名] 支持,協助
여름용이불=[名] 夏季用被子
종류=[名] 種類
사용법=[名] 使用方法
선택=[名] 選擇
한국의음식문화=[名] 選擇
식사예절=[名] 韓國的飲食文化
전통문화=[名] 傳統文化
생활예절=[名] 生活禮儀
장학금=[名] 獎學金
주인공=[名] 主人公
무용수=[名] 舞蹈演員
원서=[名] 原件,申請表
최고=[名] 最高
자신=[名] 自己
치료=[名] 治療
중단=[名] 中斷
믿음=[名] 信任
의지=[名] 意志
포기하다=[名] 拋棄
산꼭대기=[名] 山頂
휴게소=[名] 休息室
가사=[名] 歌詞
옛날=[名] 以前,過去,很久以前
유행=[名] 流行
결혼기념일=[名] 結婚紀念日
관람객=[名] 觀眾
양복=[名] 西服
건축이론=[名] 建築理論
예술적감각=[名] 藝術感覺
건축가=[名] 建築師
미술=[名] 美術
감사편지=[名] 感謝信
졸업식=[名] 畢業典禮
더위=[名] 暑熱,hotness
통신=[名] 通信
통화요금=[名] 電話費,通話費
국제전화=[名] 國際電話
흡연량=[名] 吸煙量
분실=[名] 遺失
유실물센터=[名] 遺失物中心
절약=[名] 節約
실천=[名] 實踐
잡지사=[名] 雜誌社
뚱뚱하다=[形] 肥胖的
공기=[名] 空氣
충분한=[形] 充分的
빗길=[名] 下雨的路
한강대교=[名] 漢江大橋
김모=[名] 金某,表示姓金的人
운전면허증=[名] 駕駛證
늦은밤=[名] 深夜
높은곳=[名] 高處
활기=[名] 活力
농구선수=[名] 籃球選手
고아원=[名] 孤兒院
관심과사랑=[名] 關心和愛
가로등=[名] 路燈
쓰레기=[名] 垃圾
바깥=[名] 外面
낚시꾼=[名] 釣魚的人
즐거움=[名] 快樂,happiness
종종=[副] 有時候,偶爾,occasionally
기회=[名] 機會
반복=[名] 反復
자전거=[名] 自行車
음력=[名] 陰曆
단오=[名] 端午
설=[名] 元旦
추석=[名] 秋夕
명절=[名] 節日
씨름=[名] 摔跤
그네타기=[名] 蕩秋千
황소=[名] 大黃牛
풍습=[名] 風俗
부채=[名] 扇子
무료=[名] 免費
최신기능=[名] 最新功能
불안=[名] 不安
장점=[名] 長處,優點
낙천적=[形] 樂觀的
소극적=[形] 消極的
적극적=[形] 積極的
오히려=[副] 反而,rather than
화창하다=[名] (天氣)風和日麗
적성=[名] 赤誠
봉사=[名] 服務,奉獻
강조하다=[形] 強調
컴퓨터게임=[名] 電腦遊戲,computer game
어깨가무겁다=肩上的擔子重,壓力大 (這是一個比喻)
무엇보다도=[名] 最,
햇볕=[名] 陽光
추리소설=[名] 推理小說
소설가=[名] 小說家
한산하다=[形] 悠閒,從容不迫
올겨울=[名] 今年冬天
종이비행기=[名] 紙飛機
드레스=[名] 衣服,dress
성공여부=[名] 成功與否
서적=[名] 書籍
동영상=[名] (電腦)視頻
매체=[名] 媒體
겸손하다=[形] 謙虛
실망하다=[形] 失望
