몇=[名] 幾(後接量詞)
등산화=[名] 登山鞋
연필=[名] 鉛筆
볼펜=[名] 圓珠筆(ball pen)
아마=[副] 可能
자동차=[名] 汽車
단어=[名] 單詞
시험=[名] 考試
잡수다=[名] 吃(敬語)
까만색=[名] 黑色
치마=[名] 裙子
달=[名] 月亮
년=[名] 年
주=[名] 周
캐나다=[名] 加拿大
목요일=[名] 星期四
부치다=[名] 郵,粘貼
찍다=[名] 拍(照),砍
음료수=[名] 飲料
마시다=[名] 喝
구경=[動] 觀看
출발=[動] 出發
소식=[名] 消息
유학=[名] 留學
소풍=[名] 散步
김밥=[名] 紫菜飯
달력=[名] 月曆
짐=[名] 行李
무겁다=[形] 重
휴가=[名] 休假
시작되다=[動] 開始
고프다=[形] 餓
유지=[名] 維持
생선=[名] 海鮮
꼭=[副] 一定
뭐든지=[副] 無論什麼
화장실=[名] 衛生間
시계=[名] 手錶
선배=[名] 前輩
회관=[名] 會館
마이클=[人名] 邁克
극장=[名] 劇場
