건강=[名] 健康
실례=[名] 失禮,不好意思(作為客套話使用)
진심=[名] 真心
신문=[名] 报纸
만들다=[名] 做
사진=[名] 照片
붙이다=[名] 粘贴
솜씨=[名] 才能,能力(skill,ability)
사이=[名] 間隔
글=[名] 字
시내=[名] 市內
식물원=[名] 植物園
동물원=[名] 動物園
나무=[名] 樹木
꽃=[名] 花
타워=[名] 塔(tower)
유명=[形] 著名
올라가다=[动] 上去
관광객=[名] 遊客,觀光客
남쪽=[名] 南邊
소설책=[名] 小說(指書,不指小說本身)
다르다=[形] 不同
나라=[名] 国家
그런데=[副] 但是(but)
그러니까=[副] 所以
도서관=[名] 圖書館
과일=[名] 水果
맛=[名] 味道
병원=[名] 醫院
회사=[名] 公司
커피숍=[名] 咖啡廳(coffee shop)
가게=[名] 店鋪
수영장=[名] 游泳池
운동장=[名] 操場
박물관=[名] 博物馆
영화=[名] 電影
봄=[名] 春天
따뜻하다=[形] 暖和
가을=[名] 秋天
가끔=[副] 偶爾
언니=[名] 姐姐
세탁=[名] 洗滌
방법=[名] 方法
누구=[代] 誰(who)
날씨=[名] 天氣
쇼핑=[名] 購物(shopping)
기차역=[名] 火車站
고속버스=[名] 高速公車
터미널=[名] 始發站(terminal)
주차장=[名] 停車場
삼계탕=[名] 參雞湯
할아버지=[名] 爺爺
방학=[名] 放假
다시=[副] 重新
비행기=[名] 飛機
예약=[名] 預約
취소=[名] 取消
인천=[地名] 仁川
시청=[名] 市政府
물건=[名] 物品
잃어버리다=[動] 丟失
안경=[名] 眼鏡
파란색=[名] 藍色
가방=[名] 包
시장=[名] 市場,市長
가깝다=[形] 近,不遠
아파트=[名] 社區(apartment)
