술=[名] 酒
눈사람=[名] 雪人
눈=[名] 雪,眼睛
뒤=[名] 後面
커요=[形] 大
몰라요=[動] 不知道
나빠요=[形] 壞,不好
달라요=[形] 不同
저녁=[名] 晚上
봤어요=[動] 看過了(過去式)
줬어요=[動] 給過了(過去式)
경주=[地名] 慶州
브라질=[地名] 巴西,Brazil
김치찌개=[名] 泡菜湯
오리=[名] 鴨子
요리=[名] 料理
죄송합니다=[形] 對不起,sorry
주유소=[名] 加油站
반갑습니다=[形] (見到你)很高興
버스요금=[名] 公車費用
파랑버스=[名] 藍色公車
초록버스=[名] 綠色公車
계단=[名] 樓梯
엘리베이터=[名] 電梯
외국여행=[名] 海外旅行
하지만=[連] 可是
소개=[名] 介紹
종로=[地名] 鐘路
쉬워요=[形] 容易
보세요=[動] 請看
오세요=[動] 請來
하세요=[動] 請做
여유=[名] 閒暇
여우=[名] 狐狸
고을=[名] 古時的州,府,郡,縣的統稱
여행사=[名] 旅行社
날짜=[名] 日期
맑다=[形] (天氣)晴朗,(水)清澈
티셔츠=[名] T恤,T-Shirt
출발시간=[名] 出發時間
봄날=[名] 春天
친절하다=[形] 和藹的
파티=[名] 聚會,party
편리하다=[形] 方便
지하철=[名] 地鐵
어제=[名] 昨天
일찍=[副] 早地
괜찮다=[形] 不錯(fine,be not bad)
감기=[名] 感冒
좀=[副] 稍微
멀다=[形] 遠
아니다=[形] 不是
쓰다=[動] 寫
삼=[數] 三
년=[名] 年
끝나다=[動] 結束
너무=[副] 太(too)
늦다=[形] 晚
빨리=[副] 快地
